Champion,Role,Rank,Win Percent,Play Percent,Ban Rate,Playerbase Avg. Games,Kills,Deaths,Assists,Largest Killing Spree,Damage Dealt,Damage Taken,Total Healing,Minions Killed,Enemy Jungle CS,Team Jungle CS,Gold Earned,Role Position,Position Change
Rengar,Top,128,0.5233,0.006,0.0067,12.85,6.95,6.2,5.47,7,19457,30172,7777,159.9,4.2,5.28,11837,15,18
Riven,Top,129,0.4882,0.0182,0.0013,11.71,6.09,5.66,5.06,7,16131,23228,4642,173,2.94,4.4,11541,37,3
Rumble,Middle,130,0.4894,0.0087,0.0004,27.04,6.78,5.81,8.19,7,22473,23484,3949,158.8,1.49,4.05,11220,32,3
Rumble,Support,131,0.4945,0.0026,0.0004,25.1,3.58,3.95,4.58,5,10969,12518,1289,87.6,0.53,0.79,6930,43,0
Rumble,Top,132,0.473,0.0048,0.0004,5.95,5.24,5.84,7.18,9,20743,22954,3347,163,1.2,3.12,10777,42,0
Ryze,Middle,133,0.4661,0.0145,0.0007,4.96,5.65,5.51,6.37,6,21034,23534,6691,190,3.87,12.2,11860,36,4
Ryze,Top,134,0.4624,0.0051,0.0007,6.69,4.63,5.57,5.5,6,20055,23100,6356,193.4,3.42,8.97,11632,40,1
Sejuani,Jungle,135,0.4949,0.0212,0.0005,4.8,3.95,4.66,10.16,6,11605,31237,7806,35.4,6.24,76.61,10002,31,3
Senna,Support,136,0.5032,0.0548,0.0108,NaN,3.5,5.62,11.96,7,13592,14429,9208,27.3,0.38,0.77,8584,2,0
Sett,Jungle,137,0.5135,0.0166,0.0232,NaN,5.26,5.55,7.78,7,15696,31043,7635,59.9,6.03,60.29,10510,8,4
Sett,Support,138,0.4918,0.0258,0.0232,NaN,3.28,5.57,7.87,6,10491,20407,1599,52.8,0.41,0.48,7619,25,2
Sett,Top,139,0.4929,0.0341,0.0232,NaN,5.44,6.05,5.72,8,20051,29911,3710,161.7,2.01,2.98,11256,5,4
Shaco,Jungle,140,0.5154,0.0318,0.0091,8.9,7.41,5.46,7.41,9,15497,23290,6829,32.5,8.52,70.93,10931,15,4
Shaco,Support,141,0.4919,0.0067,0.0091,34.63,4.14,5.15,9.13,6,16173,15554,1652,30.5,0.5,0.54,8320,20,2
Shen,Support,142,0.5026,0.0073,0.0012,10.76,2.62,4.02,7.83,4,7736,15284,1549,66.9,0.35,0.51,7004,39,1
Shen,Top,143,0.5068,0.0284,0.0012,5.06,4.36,4.82,9.7,5,15697,25271,3191,150.9,1.2,2.24,10422,22,3
